ball_x,ball_y,ball_vx,ball_vy,paddle_direction,paddle_y,Ball.RADIUS,Paddle.L,Paddle.STEP,WIDTH,HEIGHT,BORDER,VELOCITY,FPS
158,260,-12,-12,0,240,10,80,20,800,400,20,12,30
146,248,-12,-12,0,240,10,80,20,800,400,20,12,30
134,236,-12,-12,0,240,10,80,20,800,400,20,12,30
122,224,-12,-12,-1,220,10,80,20,800,400,20,12,30
110,212,-12,-12,0,200,10,80,20,800,400,20,12,30
98,200,-12,-12,0,200,10,80,20,800,400,20,12,30
86,188,-12,-12,0,200,10,80,20,800,400,20,12,30
74,176,-12,-12,0,200,10,80,20,800,400,20,12,30
62,164,-12,-12,-1,180,10,80,20,800,400,20,12,30
50,152,-12,-12,0,160,10,80,20,800,400,20,12,30
38,140,-12,-12,0,160,10,80,20,800,400,20,12,30
50,128,12,-12,0,160,10,80,20,800,400,20,12,30
62,116,12,-12,0,160,10,80,20,800,400,20,12,30
74,104,12,-12,-1,140,10,80,20,800,400,20,12,30
86,92,12,-12,0,120,10,80,20,800,400,20,12,30
98,80,12,-12,0,120,10,80,20,800,400,20,12,30
110,68,12,-12,0,120,10,80,20,800,400,20,12,30
122,56,12,-12,0,120,10,80,20,800,400,20,12,30
134,44,12,-12,0,120,10,80,20,800,400,20,12,30
146,32,12,-12,-1,100,10,80,20,800,400,20,12,30
158,44,12,12,0,80,10,80,20,800,400,20,12,30
170,56,12,12,1,100,10,80,20,800,400,20,12,30
182,68,12,12,0,120,10,80,20,800,400,20,12,30
194,80,12,12,0,120,10,80,20,800,400,20,12,30
206,92,12,12,0,120,10,80,20,800,400,20,12,30
218,104,12,12,0,120,10,80,20,800,400,20,12,30
230,116,12,12,0,120,10,80,20,800,400,20,12,30
242,128,12,12,1,140,10,80,20,800,400,20,12,30
254,140,12,12,0,160,10,80,20,800,400,20,12,30
266,152,12,12,0,160,10,80,20,800,400,20,12,30
278,164,12,12,0,160,10,80,20,800,400,20,12,30
290,176,12,12,1,180,10,80,20,800,400,20,12,30
302,188,12,12,0,200,10,80,20,800,400,20,12,30
314,200,12,12,0,200,10,80,20,800,400,20,12,30
326,212,12,12,0,200,10,80,20,800,400,20,12,30
338,224,12,12,1,220,10,80,20,800,400,20,12,30
350,236,12,12,0,240,10,80,20,800,400,20,12,30
362,248,12,12,0,240,10,80,20,800,400,20,12,30
374,260,12,12,0,240,10,80,20,800,400,20,12,30
386,272,12,12,1,260,10,80,20,800,400,20,12,30
398,284,12,12,0,280,10,80,20,800,400,20,12,30
410,296,12,12,0,280,10,80,20,800,400,20,12,30
422,308,12,12,0,280,10,80,20,800,400,20,12,30
434,320,12,12,1,300,10,80,20,800,400,20,12,30
446,332,12,12,0,320,10,80,20,800,400,20,12,30
458,344,12,12,0,320,10,80,20,800,400,20,12,30
470,356,12,12,0,320,10,80,20,800,400,20,12,30
482,368,12,12,0,320,10,80,20,800,400,20,12,30
494,356,12,-12,0,320,10,80,20,800,400,20,12,30
506,344,12,-12,0,320,10,80,20,800,400,20,12,30
518,332,12,-12,0,320,10,80,20,800,400,20,12,30
530,320,12,-12,0,320,10,80,20,800,400,20,12,30
542,308,12,-12,-1,300,10,80,20,800,400,20,12,30
554,296,12,-12,0,280,10,80,20,800,400,20,12,30
566,284,12,-12,0,280,10,80,20,800,400,20,12,30
578,272,12,-12,0,280,10,80,20,800,400,20,12,30
590,260,12,-12,0,280,10,80,20,800,400,20,12,30
602,248,12,-12,-1,260,10,80,20,800,400,20,12,30
614,236,12,-12,0,240,10,80,20,800,400,20,12,30
626,224,12,-12,0,240,10,80,20,800,400,20,12,30
638,212,12,-12,-1,220,10,80,20,800,400,20,12,30
650,200,12,-12,0,200,10,80,20,800,400,20,12,30
662,188,12,-12,0,200,10,80,20,800,400,20,12,30
674,176,12,-12,-1,180,10,80,20,800,400,20,12,30
686,164,12,-12,0,160,10,80,20,800,400,20,12,30
698,152,12,-12,0,160,10,80,20,800,400,20,12,30
710,140,12,-12,-1,140,10,80,20,800,400,20,12,30
722,128,12,-12,0,120,10,80,20,800,400,20,12,30
734,116,12,-12,0,120,10,80,20,800,400,20,12,30
746,104,12,-12,0,120,10,80,20,800,400,20,12,30
758,92,12,-12,0,120,10,80,20,800,400,20,12,30
770,80,12,-12,-1,100,10,80,20,800,400,20,12,30
758,68,-12,-12,0,80,10,80,20,800,400,20,12,30
746,56,-12,-12,0,80,10,80,20,800,400,20,12,30
734,44,-12,-12,0,80,10,80,20,800,400,20,12,30
722,32,-12,-12,0,80,10,80,20,800,400,20,12,30
710,44,-12,12,0,80,10,80,20,800,400,20,12,30
698,56,-12,12,0,80,10,80,20,800,400,20,12,30
686,68,-12,12,0,80,10,80,20,800,400,20,12,30
674,80,-12,12,0,80,10,80,20,800,400,20,12,30
662,92,-12,12,0,80,10,80,20,800,400,20,12,30
650,104,-12,12,1,100,10,80,20,800,400,20,12,30
638,116,-12,12,0,120,10,80,20,800,400,20,12,30
626,128,-12,12,0,120,10,80,20,800,400,20,12,30
614,140,-12,12,0,120,10,80,20,800,400,20,12,30
602,152,-12,12,1,140,10,80,20,800,400,20,12,30
590,164,-12,12,0,160,10,80,20,800,400,20,12,30
578,176,-12,12,0,160,10,80,20,800,400,20,12,30
566,188,-12,12,1,180,10,80,20,800,400,20,12,30
554,200,-12,12,0,200,10,80,20,800,400,20,12,30
542,212,-12,12,0,200,10,80,20,800,400,20,12,30
530,224,-12,12,1,220,10,80,20,800,400,20,12,30
518,236,-12,12,0,240,10,80,20,800,400,20,12,30
506,248,-12,12,0,240,10,80,20,800,400,20,12,30
494,260,-12,12,0,240,10,80,20,800,400,20,12,30
482,272,-12,12,1,260,10,80,20,800,400,20,12,30
470,284,-12,12,0,280,10,80,20,800,400,20,12,30
458,296,-12,12,0,280,10,80,20,800,400,20,12,30
446,308,-12,12,0,280,10,80,20,800,400,20,12,30
434,320,-12,12,1,300,10,80,20,800,400,20,12,30
422,332,-12,12,0,320,10,80,20,800,400,20,12,30
410,344,-12,12,0,320,10,80,20,800,400,20,12,30
398,356,-12,12,0,320,10,80,20,800,400,20,12,30
386,368,-12,12,0,320,10,80,20,800,400,20,12,30
374,356,-12,-12,0,320,10,80,20,800,400,20,12,30
362,344,-12,-12,0,320,10,80,20,800,400,20,12,30
350,332,-12,-12,0,320,10,80,20,800,400,20,12,30
338,320,-12,-12,-1,300,10,80,20,800,400,20,12,30
326,308,-12,-12,0,280,10,80,20,800,400,20,12,30
314,296,-12,-12,0,280,10,80,20,800,400,20,12,30
302,284,-12,-12,0,280,10,80,20,800,400,20,12,30
290,272,-12,-12,0,280,10,80,20,800,400,20,12,30
278,260,-12,-12,-1,260,10,80,20,800,400,20,12,30
266,248,-12,-12,0,240,10,80,20,800,400,20,12,30
254,236,-12,-12,0,240,10,80,20,800,400,20,12,30
242,224,-12,-12,0,240,10,80,20,800,400,20,12,30
230,212,-12,-12,-1,220,10,80,20,800,400,20,12,30
218,200,-12,-12,0,200,10,80,20,800,400,20,12,30
206,188,-12,-12,0,200,10,80,20,800,400,20,12,30
194,176,-12,-12,0,200,10,80,20,800,400,20,12,30
182,164,-12,-12,-1,180,10,80,20,800,400,20,12,30
170,152,-12,-12,0,160,10,80,20,800,400,20,12,30
158,140,-12,-12,0,160,10,80,20,800,400,20,12,30
146,128,-12,-12,0,160,10,80,20,800,400,20,12,30
134,116,-12,-12,-1,140,10,80,20,800,400,20,12,30
122,104,-12,-12,0,120,10,80,20,800,400,20,12,30
110,92,-12,-12,0,120,10,80,20,800,400,20,12,30
98,80,-12,-12,0,120,10,80,20,800,400,20,12,30
86,68,-12,-12,0,120,10,80,20,800,400,20,12,30
74,56,-12,-12,0,120,10,80,20,800,400,20,12,30
62,44,-12,-12,0,120,10,80,20,800,400,20,12,30
50,32,-12,-12,0,120,10,80,20,800,400,20,12,30
38,44,-12,12,0,120,10,80,20,800,400,20,12,30
50,56,12,12,0,120,10,80,20,800,400,20,12,30
62,68,12,12,0,120,10,80,20,800,400,20,12,30
74,80,12,12,0,120,10,80,20,800,400,20,12,30
86,92,12,12,0,120,10,80,20,800,400,20,12,30
98,104,12,12,0,120,10,80,20,800,400,20,12,30
110,116,12,12,0,120,10,80,20,800,400,20,12,30
122,128,12,12,1,140,10,80,20,800,400,20,12,30
134,140,12,12,0,160,10,80,20,800,400,20,12,30
146,152,12,12,0,160,10,80,20,800,400,20,12,30
158,164,12,12,0,160,10,80,20,800,400,20,12,30
170,176,12,12,1,180,10,80,20,800,400,20,12,30
182,188,12,12,0,200,10,80,20,800,400,20,12,30
194,200,12,12,0,200,10,80,20,800,400,20,12,30
206,212,12,12,0,200,10,80,20,800,400,20,12,30
218,224,12,12,1,220,10,80,20,800,400,20,12,30
230,236,12,12,0,240,10,80,20,800,400,20,12,30
242,248,12,12,0,240,10,80,20,800,400,20,12,30
254,260,12,12,0,240,10,80,20,800,400,20,12,30
266,272,12,12,1,260,10,80,20,800,400,20,12,30
278,284,12,12,0,280,10,80,20,800,400,20,12,30
290,296,12,12,0,280,10,80,20,800,400,20,12,30
302,308,12,12,0,280,10,80,20,800,400,20,12,30
314,320,12,12,0,280,10,80,20,800,400,20,12,30
326,332,12,12,1,300,10,80,20,800,400,20,12,30
338,344,12,12,0,320,10,80,20,800,400,20,12,30
350,356,12,12,0,320,10,80,20,800,400,20,12,30
362,368,12,12,0,320,10,80,20,800,400,20,12,30
374,356,12,-12,0,320,10,80,20,800,400,20,12,30
386,344,12,-12,0,320,10,80,20,800,400,20,12,30
398,332,12,-12,0,320,10,80,20,800,400,20,12,30
410,320,12,-12,0,320,10,80,20,800,400,20,12,30
422,308,12,-12,-1,300,10,80,20,800,400,20,12,30
434,296,12,-12,0,280,10,80,20,800,400,20,12,30
446,284,12,-12,0,280,10,80,20,800,400,20,12,30
458,272,12,-12,0,280,10,80,20,800,400,20,12,30
470,260,12,-12,-1,260,10,80,20,800,400,20,12,30
482,248,12,-12,0,240,10,80,20,800,400,20,12,30
494,236,12,-12,0,240,10,80,20,800,400,20,12,30
506,224,12,-12,0,240,10,80,20,800,400,20,12,30
518,212,12,-12,-1,220,10,80,20,800,400,20,12,30
530,200,12,-12,0,200,10,80,20,800,400,20,12,30
542,188,12,-12,0,200,10,80,20,800,400,20,12,30
554,176,12,-12,-1,180,10,80,20,800,400,20,12,30
566,164,12,-12,0,160,10,80,20,800,400,20,12,30
578,152,12,-12,0,160,10,80,20,800,400,20,12,30
590,140,12,-12,-1,140,10,80,20,800,400,20,12,30
602,128,12,-12,0,120,10,80,20,800,400,20,12,30
614,116,12,-12,0,120,10,80,20,800,400,20,12,30
626,104,12,-12,0,120,10,80,20,800,400,20,12,30
638,92,12,-12,-1,100,10,80,20,800,400,20,12,30
650,80,12,-12,0,80,10,80,20,800,400,20,12,30
662,68,12,-12,0,80,10,80,20,800,400,20,12,30
674,56,12,-12,0,80,10,80,20,800,400,20,12,30
686,44,12,-12,0,80,10,80,20,800,400,20,12,30
698,32,12,-12,0,80,10,80,20,800,400,20,12,30
710,44,12,12,0,80,10,80,20,800,400,20,12,30
722,56,12,12,0,80,10,80,20,800,400,20,12,30
734,68,12,12,0,80,10,80,20,800,400,20,12,30
746,80,12,12,0,80,10,80,20,800,400,20,12,30
758,92,12,12,1,100,10,80,20,800,400,20,12,30
770,104,12,12,0,120,10,80,20,800,400,20,12,30
758,116,-12,12,0,120,10,80,20,800,400,20,12,30
746,128,-12,12,0,120,10,80,20,800,400,20,12,30
734,140,-12,12,0,120,10,80,20,800,400,20,12,30
722,152,-12,12,1,140,10,80,20,800,400,20,12,30
710,164,-12,12,0,160,10,80,20,800,400,20,12,30
698,176,-12,12,0,160,10,80,20,800,400,20,12,30
686,188,-12,12,1,180,10,80,20,800,400,20,12,30
674,200,-12,12,0,200,10,80,20,800,400,20,12,30
662,212,-12,12,0,200,10,80,20,800,400,20,12,30
650,224,-12,12,1,220,10,80,20,800,400,20,12,30
638,236,-12,12,0,240,10,80,20,800,400,20,12,30
626,248,-12,12,0,240,10,80,20,800,400,20,12,30
614,260,-12,12,1,260,10,80,20,800,400,20,12,30
602,272,-12,12,0,280,10,80,20,800,400,20,12,30
590,284,-12,12,0,280,10,80,20,800,400,20,12,30
578,296,-12,12,0,280,10,80,20,800,400,20,12,30
566,308,-12,12,1,300,10,80,20,800,400,20,12,30
554,320,-12,12,0,320,10,80,20,800,400,20,12,30
542,332,-12,12,0,320,10,80,20,800,400,20,12,30
530,344,-12,12,0,320,10,80,20,800,400,20,12,30
518,356,-12,12,0,320,10,80,20,800,400,20,12,30
506,368,-12,12,0,320,10,80,20,800,400,20,12,30
494,356,-12,-12,0,320,10,80,20,800,400,20,12,30
482,344,-12,-12,0,320,10,80,20,800,400,20,12,30
470,332,-12,-12,0,320,10,80,20,800,400,20,12,30
458,320,-12,-12,0,320,10,80,20,800,400,20,12,30
446,308,-12,-12,-1,300,10,80,20,800,400,20,12,30
434,296,-12,-12,0,280,10,80,20,800,400,20,12,30
422,284,-12,-12,0,280,10,80,20,800,400,20,12,30
410,272,-12,-12,0,280,10,80,20,800,400,20,12,30
398,260,-12,-12,-1,260,10,80,20,800,400,20,12,30
386,248,-12,-12,0,240,10,80,20,800,400,20,12,30
374,236,-12,-12,0,240,10,80,20,800,400,20,12,30
362,224,-12,-12,0,240,10,80,20,800,400,20,12,30
350,212,-12,-12,-1,220,10,80,20,800,400,20,12,30
338,200,-12,-12,0,200,10,80,20,800,400,20,12,30
326,188,-12,-12,0,200,10,80,20,800,400,20,12,30
314,176,-12,-12,0,200,10,80,20,800,400,20,12,30
302,164,-12,-12,-1,180,10,80,20,800,400,20,12,30
290,152,-12,-12,0,160,10,80,20,800,400,20,12,30
278,140,-12,-12,0,160,10,80,20,800,400,20,12,30
266,128,-12,-12,0,160,10,80,20,800,400,20,12,30
254,116,-12,-12,-1,140,10,80,20,800,400,20,12,30
242,104,-12,-12,0,120,10,80,20,800,400,20,12,30
230,92,-12,-12,0,120,10,80,20,800,400,20,12,30
218,80,-12,-12,0,120,10,80,20,800,400,20,12,30
206,68,-12,-12,0,120,10,80,20,800,400,20,12,30
194,56,-12,-12,-1,100,10,80,20,800,400,20,12,30
182,44,-12,-12,0,80,10,80,20,800,400,20,12,30
170,32,-12,-12,0,80,10,80,20,800,400,20,12,30
158,44,-12,12,0,80,10,80,20,800,400,20,12,30
146,56,-12,12,1,100,10,80,20,800,400,20,12,30
134,68,-12,12,0,120,10,80,20,800,400,20,12,30
122,80,-12,12,0,120,10,80,20,800,400,20,12,30
110,92,-12,12,0,120,10,80,20,800,400,20,12,30
98,104,-12,12,0,120,10,80,20,800,400,20,12,30
86,116,-12,12,0,120,10,80,20,800,400,20,12,30
74,128,-12,12,1,140,10,80,20,800,400,20,12,30
62,140,-12,12,0,160,10,80,20,800,400,20,12,30
50,152,-12,12,0,160,10,80,20,800,400,20,12,30
38,164,-12,12,0,160,10,80,20,800,400,20,12,30
50,176,12,12,1,180,10,80,20,800,400,20,12,30
62,188,12,12,0,200,10,80,20,800,400,20,12,30
74,200,12,12,0,200,10,80,20,800,400,20,12,30
86,212,12,12,0,200,10,80,20,800,400,20,12,30
98,224,12,12,0,200,10,80,20,800,400,20,12,30
110,236,12,12,1,220,10,80,20,800,400,20,12,30
122,248,12,12,0,240,10,80,20,800,400,20,12,30
134,260,12,12,0,240,10,80,20,800,400,20,12,30
146,272,12,12,0,240,10,80,20,800,400,20,12,30
158,284,12,12,1,260,10,80,20,800,400,20,12,30
170,296,12,12,0,280,10,80,20,800,400,20,12,30
182,308,12,12,0,280,10,80,20,800,400,20,12,30
194,320,12,12,0,280,10,80,20,800,400,20,12,30
206,332,12,12,0,280,10,80,20,800,400,20,12,30
218,344,12,12,1,300,10,80,20,800,400,20,12,30
230,356,12,12,0,320,10,80,20,800,400,20,12,30
242,368,12,12,0,320,10,80,20,800,400,20,12,30
254,356,12,-12,0,320,10,80,20,800,400,20,12,30
266,344,12,-12,0,320,10,80,20,800,400,20,12,30
278,332,12,-12,0,320,10,80,20,800,400,20,12,30
290,320,12,-12,-1,300,10,80,20,800,400,20,12,30
302,308,12,-12,0,280,10,80,20,800,400,20,12,30
314,296,12,-12,0,280,10,80,20,800,400,20,12,30
326,284,12,-12,0,280,10,80,20,800,400,20,12,30
338,272,12,-12,0,280,10,80,20,800,400,20,12,30
350,260,12,-12,-1,260,10,80,20,800,400,20,12,30
362,248,12,-12,0,240,10,80,20,800,400,20,12,30
374,236,12,-12,0,240,10,80,20,800,400,20,12,30
386,224,12,-12,0,240,10,80,20,800,400,20,12,30
398,212,12,-12,-1,220,10,80,20,800,400,20,12,30
410,200,12,-12,0,200,10,80,20,800,400,20,12,30
422,188,12,-12,0,200,10,80,20,800,400,20,12,30
434,176,12,-12,-1,180,10,80,20,800,400,20,12,30
446,164,12,-12,0,160,10,80,20,800,400,20,12,30
458,152,12,-12,0,160,10,80,20,800,400,20,12,30
470,140,12,-12,0,160,10,80,20,800,400,20,12,30
482,128,12,-12,-1,140,10,80,20,800,400,20,12,30
494,116,12,-12,0,120,10,80,20,800,400,20,12,30
506,104,12,-12,0,120,10,80,20,800,400,20,12,30
518,92,12,-12,0,120,10,80,20,800,400,20,12,30
530,80,12,-12,-1,100,10,80,20,800,400,20,12,30
542,68,12,-12,0,80,10,80,20,800,400,20,12,30
554,56,12,-12,0,80,10,80,20,800,400,20,12,30
566,44,12,-12,0,80,10,80,20,800,400,20,12,30
578,32,12,-12,0,80,10,80,20,800,400,20,12,30
590,44,12,12,0,80,10,80,20,800,400,20,12,30
602,56,12,12,0,80,10,80,20,800,400,20,12,30
614,68,12,12,0,80,10,80,20,800,400,20,12,30
626,80,12,12,0,80,10,80,20,800,400,20,12,30
638,92,12,12,0,80,10,80,20,800,400,20,12,30
650,104,12,12,1,100,10,80,20,800,400,20,12,30
662,116,12,12,0,120,10,80,20,800,400,20,12,30
674,128,12,12,0,120,10,80,20,800,400,20,12,30
686,140,12,12,0,120,10,80,20,800,400,20,12,30
698,152,12,12,1,140,10,80,20,800,400,20,12,30
710,164,12,12,0,160,10,80,20,800,400,20,12,30
722,176,12,12,0,160,10,80,20,800,400,20,12,30
734,188,12,12,1,180,10,80,20,800,400,20,12,30
746,200,12,12,0,200,10,80,20,800,400,20,12,30
758,212,12,12,0,200,10,80,20,800,400,20,12,30
770,224,12,12,1,220,10,80,20,800,400,20,12,30
758,236,-12,12,0,240,10,80,20,800,400,20,12,30
746,248,-12,12,0,240,10,80,20,800,400,20,12,30
734,260,-12,12,0,240,10,80,20,800,400,20,12,30
722,272,-12,12,1,260,10,80,20,800,400,20,12,30
710,284,-12,12,0,280,10,80,20,800,400,20,12,30
698,296,-12,12,0,280,10,80,20,800,400,20,12,30
686,308,-12,12,0,280,10,80,20,800,400,20,12,30
674,320,-12,12,1,300,10,80,20,800,400,20,12,30
662,332,-12,12,0,320,10,80,20,800,400,20,12,30
650,344,-12,12,0,320,10,80,20,800,400,20,12,30
638,356,-12,12,0,320,10,80,20,800,400,20,12,30
626,368,-12,12,0,320,10,80,20,800,400,20,12,30
614,356,-12,-12,0,320,10,80,20,800,400,20,12,30
602,344,-12,-12,0,320,10,80,20,800,400,20,12,30
590,332,-12,-12,0,320,10,80,20,800,400,20,12,30
578,320,-12,-12,0,320,10,80,20,800,400,20,12,30
566,308,-12,-12,0,320,10,80,20,800,400,20,12,30
554,296,-12,-12,-1,300,10,80,20,800,400,20,12,30
542,284,-12,-12,0,280,10,80,20,800,400,20,12,30
530,272,-12,-12,0,280,10,80,20,800,400,20,12,30
518,260,-12,-12,0,280,10,80,20,800,400,20,12,30
506,248,-12,-12,-1,260,10,80,20,800,400,20,12,30
494,236,-12,-12,0,240,10,80,20,800,400,20,12,30
482,224,-12,-12,0,240,10,80,20,800,400,20,12,30
470,212,-12,-12,-1,220,10,80,20,800,400,20,12,30
458,200,-12,-12,0,200,10,80,20,800,400,20,12,30
446,188,-12,-12,0,200,10,80,20,800,400,20,12,30
434,176,-12,-12,-1,180,10,80,20,800,400,20,12,30
422,164,-12,-12,0,160,10,80,20,800,400,20,12,30
410,152,-12,-12,0,160,10,80,20,800,400,20,12,30
398,140,-12,-12,0,160,10,80,20,800,400,20,12,30
386,128,-12,-12,-1,140,10,80,20,800,400,20,12,30
374,116,-12,-12,0,120,10,80,20,800,400,20,12,30
362,104,-12,-12,0,120,10,80,20,800,400,20,12,30
350,92,-12,-12,0,120,10,80,20,800,400,20,12,30
338,80,-12,-12,0,120,10,80,20,800,400,20,12,30
326,68,-12,-12,0,120,10,80,20,800,400,20,12,30
314,56,-12,-12,-1,100,10,80,20,800,400,20,12,30
302,44,-12,-12,0,80,10,80,20,800,400,20,12,30
290,32,-12,-12,0,80,10,80,20,800,400,20,12,30
278,44,-12,12,0,80,10,80,20,800,400,20,12,30
266,56,-12,12,0,80,10,80,20,800,400,20,12,30
254,68,-12,12,1,100,10,80,20,800,400,20,12,30
242,80,-12,12,0,120,10,80,20,800,400,20,12,30
230,92,-12,12,0,120,10,80,20,800,400,20,12,30
218,104,-12,12,0,120,10,80,20,800,400,20,12,30
206,116,-12,12,0,120,10,80,20,800,400,20,12,30
194,128,-12,12,1,140,10,80,20,800,400,20,12,30
182,140,-12,12,0,160,10,80,20,800,400,20,12,30
170,152,-12,12,0,160,10,80,20,800,400,20,12,30
158,164,-12,12,0,160,10,80,20,800,400,20,12,30
146,176,-12,12,1,180,10,80,20,800,400,20,12,30
134,188,-12,12,0,200,10,80,20,800,400,20,12,30
122,200,-12,12,0,200,10,80,20,800,400,20,12,30
110,212,-12,12,0,200,10,80,20,800,400,20,12,30
98,224,-12,12,0,200,10,80,20,800,400,20,12,30
86,236,-12,12,1,220,10,80,20,800,400,20,12,30
74,248,-12,12,0,240,10,80,20,800,400,20,12,30
62,260,-12,12,0,240,10,80,20,800,400,20,12,30
50,272,-12,12,0,240,10,80,20,800,400,20,12,30
38,284,-12,12,0,240,10,80,20,800,400,20,12,30
50,296,12,12,1,260,10,80,20,800,400,20,12,30
62,308,12,12,0,280,10,80,20,800,400,20,12,30
74,320,12,12,0,280,10,80,20,800,400,20,12,30
86,332,12,12,0,280,10,80,20,800,400,20,12,30
98,344,12,12,0,280,10,80,20,800,400,20,12,30
110,356,12,12,0,280,10,80,20,800,400,20,12,30
122,368,12,12,0,280,10,80,20,800,400,20,12,30
134,356,12,-12,0,280,10,80,20,800,400,20,12,30
146,344,12,-12,0,280,10,80,20,800,400,20,12,30
158,332,12,-12,0,280,10,80,20,800,400,20,12,30
170,320,12,-12,0,280,10,80,20,800,400,20,12,30
182,308,12,-12,0,280,10,80,20,800,400,20,12,30
194,296,12,-12,0,280,10,80,20,800,400,20,12,30
206,284,12,-12,0,280,10,80,20,800,400,20,12,30
218,272,12,-12,0,280,10,80,20,800,400,20,12,30
230,260,12,-12,-1,260,10,80,20,800,400,20,12,30
242,248,12,-12,0,240,10,80,20,800,400,20,12,30
254,236,12,-12,0,240,10,80,20,800,400,20,12,30
266,224,12,-12,0,240,10,80,20,800,400,20,12,30
278,212,12,-12,-1,220,10,80,20,800,400,20,12,30
290,200,12,-12,0,200,10,80,20,800,400,20,12,30
302,188,12,-12,0,200,10,80,20,800,400,20,12,30
314,176,12,-12,0,200,10,80,20,800,400,20,12,30
326,164,12,-12,-1,180,10,80,20,800,400,20,12,30
338,152,12,-12,0,160,10,80,20,800,400,20,12,30
350,140,12,-12,0,160,10,80,20,800,400,20,12,30
362,128,12,-12,-1,140,10,80,20,800,400,20,12,30
374,116,12,-12,0,120,10,80,20,800,400,20,12,30
386,104,12,-12,0,120,10,80,20,800,400,20,12,30
398,92,12,-12,0,120,10,80,20,800,400,20,12,30
410,80,12,-12,0,120,10,80,20,800,400,20,12,30
422,68,12,-12,-1,100,10,80,20,800,400,20,12,30
434,56,12,-12,0,80,10,80,20,800,400,20,12,30
446,44,12,-12,0,80,10,80,20,800,400,20,12,30
458,32,12,-12,0,80,10,80,20,800,400,20,12,30
470,44,12,12,0,80,10,80,20,800,400,20,12,30
482,56,12,12,0,80,10,80,20,800,400,20,12,30
494,68,12,12,0,80,10,80,20,800,400,20,12,30
506,80,12,12,0,80,10,80,20,800,400,20,12,30
518,92,12,12,1,100,10,80,20,800,400,20,12,30
530,104,12,12,0,120,10,80,20,800,400,20,12,30
542,116,12,12,0,120,10,80,20,800,400,20,12,30
554,128,12,12,0,120,10,80,20,800,400,20,12,30
566,140,12,12,0,120,10,80,20,800,400,20,12,30
578,152,12,12,1,140,10,80,20,800,400,20,12,30
